test_name,index,runtime_ms
client-store,0,2.2246427834033966
cloud-store,0,0.8148634806275368
client-store,1,1.8331343308091164
cloud-store,1,0.7358165457844734
client-store,2,1.7937906086444855
cloud-store,2,0.7409490644931793
client-store,3,1.7884867265820503
cloud-store,3,0.7359851151704788
client-store,4,1.8792720511555672
cloud-store,4,0.6974674761295319
client-store,5,1.8295133486390114
cloud-store,5,0.7325122132897377
client-store,6,1.6875900328159332
cloud-store,6,0.7028393447399139
client-store,7,1.74611434340477
cloud-store,7,0.7351255044341087
client-store,8,1.8460825085639954
cloud-store,8,0.8124429732561111
client-store,9,1.8273023888468742
cloud-store,9,0.7569435983896255
client-store,10,1.7790384590625763
cloud-store,10,0.7353341206908226
client-store,11,1.7337379977107048
cloud-store,11,0.7507456466555595
client-store,12,1.8194783478975296
cloud-store,12,0.7555214688181877
client-store,13,1.8265442922711372
cloud-store,13,0.7362570613622665
client-store,14,1.7414819449186325
cloud-store,14,0.7228758186101913
client-store,15,1.6739564016461372
cloud-store,15,0.6828904151916504
client-store,16,1.8212171271443367
cloud-store,16,0.7613487541675568
client-store,17,1.7837779596447945
cloud-store,17,0.736522488296032
client-store,18,1.7639994621276855
cloud-store,18,0.6989128887653351
client-store,19,1.7199516296386719
cloud-store,19,0.7542315870523453
client-store,20,1.8504103645682335
cloud-store,20,0.7427381351590157
client-store,21,1.7601558938622475
cloud-store,21,0.7452918216586113
client-store,22,1.8341662362217903
cloud-store,22,0.7109083235263824
client-store,23,1.7135506495833397
cloud-store,23,0.7344121113419533
client-store,24,1.802811399102211
cloud-store,24,0.7470874115824699
client-store,25,1.8402282148599625
cloud-store,25,0.7142201066017151
client-store,26,1.7722491174936295
cloud-store,26,0.6855949759483337
client-store,27,2.057526260614395
cloud-store,27,0.6935670971870422
client-store,28,1.7655855044722557
cloud-store,28,0.7313191890716553
client-store,29,1.8001813441514969
cloud-store,29,0.7564164698123932
client-store,30,1.7541581764817238
cloud-store,30,0.743144191801548
client-store,31,1.8129777163267136
cloud-store,31,0.7472727447748184
client-store,32,1.7760470509529114
cloud-store,32,0.707210972905159
client-store,33,1.8599722534418106
cloud-store,33,0.7514841854572296
client-store,34,1.8282197415828705
cloud-store,34,0.7467484101653099
client-store,35,2.029597759246826
cloud-store,35,0.8001038804650307
client-store,36,2.0503979176282883
cloud-store,36,0.8071018382906914
client-store,37,1.858801580965519
cloud-store,37,0.8089262992143631
client-store,38,2.0967023447155952
cloud-store,38,0.8658980950713158
client-store,39,1.9716331735253334
cloud-store,39,0.7839398458600044
client-store,40,1.8164590001106262
cloud-store,40,0.7563736289739609
client-store,41,1.9020084291696548
cloud-store,41,0.7531000301241875
client-store,42,2.0031528547406197
cloud-store,42,0.8172895759344101
client-store,43,2.1427562460303307
cloud-store,43,0.8129691705107689
client-store,44,2.1886248141527176
cloud-store,44,0.8828137069940567
client-store,45,2.2033117711544037
cloud-store,45,0.9010862559080124
client-store,46,2.214483916759491
cloud-store,46,0.9031090885400772
client-store,47,2.2042877972126007
cloud-store,47,0.913035124540329
client-store,48,2.0231520757079124
cloud-store,48,0.8760271593928337
client-store,49,2.049412578344345
cloud-store,49,0.8810870349407196
client-store,50,1.9817166030406952
cloud-store,50,0.8175605908036232
client-store,51,2.009308896958828
cloud-store,51,0.8375318720936775
client-store,52,1.9242139533162117
cloud-store,52,0.7988344877958298
client-store,53,1.9966652616858482
cloud-store,53,0.8367830887436867
client-store,54,1.9921986386179924
cloud-store,54,0.850532203912735
client-store,55,1.9882908090949059
cloud-store,55,0.8342964574694633
client-store,56,2.0033325999975204
cloud-store,56,0.8165137842297554
client-store,57,2.007582224905491
cloud-store,57,0.8355826139450073
client-store,58,1.9783731549978256
cloud-store,58,0.8226511999964714
client-store,59,1.9425516948103905
cloud-store,59,0.834878534078598
client-store,60,1.924494281411171
cloud-store,60,0.8018407970666885
client-store,61,2.0239409059286118
cloud-store,61,0.8515417575836182
client-store,62,1.8669385462999344
cloud-store,62,0.8735256269574165
client-store,63,1.8228217959403992
cloud-store,63,0.812712125480175
client-store,64,2.0417533814907074
cloud-store,64,0.8503859862685204
client-store,65,1.9443659111857414
cloud-store,65,0.7823286578059196
client-store,66,1.8062591552734375
cloud-store,66,0.7437355816364288
client-store,67,1.8335916101932526
cloud-store,67,0.7776161655783653
client-store,68,1.8965434283018112
cloud-store,68,0.7962808012962341
client-store,69,1.8568923696875572
cloud-store,69,0.7386151701211929
client-store,70,1.8194308504462242
cloud-store,70,0.7545081898570061
client-store,71,1.8926439806818962
cloud-store,71,0.9534303098917007
client-store,72,1.902448944747448
cloud-store,72,0.8103838190436363
client-store,73,1.9487962126731873
cloud-store,73,0.7888320833444595
client-store,74,1.873658038675785
cloud-store,74,0.7542204111814499
client-store,75,1.87631044536829
cloud-store,75,0.731324777007103
client-store,76,1.8578553572297096
cloud-store,76,0.7665716111660004
client-store,77,1.7934534698724747
cloud-store,77,0.7451791316270828
client-store,78,1.8638111650943756
cloud-store,78,0.7412424311041832
client-store,79,1.8047383055090904
cloud-store,79,0.7612006738781929
client-store,80,1.770450733602047
cloud-store,80,0.7269708439707756
